Play,Time,Player,Points,Total
12,10:26,JR Smith,3,3
15,10:15,Zaza Pachulia,2,2
19,9:48,Kevin Durant,2,2
34,8:56,LeBron James,1,1
35,8:45,Kevin Durant,2,4
36,8:32,Kevin Love,3,3
37,8:17,Klay Thompson,2,2
42,7:52,Kyrie Irving,3,3
49,7:11,Kyrie Irving,2,5
50,7:01,Zaza Pachulia,2,4
53,6:43,Andre Iguodala,2,2
56,6:30,Kevin Love,1,4
57,6:30,Kevin Love,1,5
58,6:18,Kevin Durant,2,6
61,5:52,LeBron James,2,3
70,5:31,LeBron James,1,4
71,5:16,Stephen Curry,2,2
73,4:56,Kevin Durant,2,8
79,4:16,Kevin Durant,2,10
81,4:05,LeBron James,1,5
82,4:05,LeBron James,1,6
86,3:27,JaVale McGee,2,2
87,3:12,LeBron James,3,9
90,3:00,JaVale McGee,2,4
91,2:34,LeBron James,2,11
101,2:04,Stephen Curry,3,5
102,1:47,Kyrie Irving,2,7
111,1:06,Stephen Curry,3,8
113,0:55,LeBron James,1,12
115,0:55,LeBron James,1,13
116,0:41,Stephen Curry,2,10
117,0:33,Kyrie Irving,2,9
123,0:01,Andre Iguodala,3,5
125,11:45,LeBron James,2,15
130,11:03,Andre Iguodala,2,7
143,9:37,Ian Clark,1,1
146,9:37,Ian Clark,1,2
147,9:22,Richard Jefferson,2,2
153,8:49,David West,2,2
175,7:09,Kevin Durant,2,12
185,6:22,LeBron James,2,17
198,5:37,Kevin Durant,2,14
199,5:20,Iman Shumpert,3,3
200,5:07,Kevin Durant,2,16
204,4:52,Kevin Durant,1,17
208,4:52,Kevin Durant,1,18
209,4:46,Kyrie Irving,3,12
211,4:46,Kyrie Irving,1,13
212,4:26,Shaun Livingston,2,2
215,4:05,Klay Thompson,2,4
216,3:44,Kyrie Irving,2,15
221,3:17,Kevin Durant,2,20
227,2:38,Kevin Love,3,8
233,1:54,Stephen Curry,2,12
234,1:35,Kyrie Irving,2,17
237,1:12,Kevin Durant,2,22
239,1:00,LeBron James,1,18
240,1:00,LeBron James,1,19
242,0:39,Kevin Durant,1,23
266,11:32,Kevin Durant,3,26
269,10:57,Zaza Pachulia,2,6
283,9:45,Stephen Curry,2,14
291,9:03,Stephen Curry,3,17
296,8:03,Stephen Curry,3,20
297,7:52,LeBron James,3,22
302,7:18,Kevin Love,3,11
303,7:01,Zaza Pachulia,2,8
312,6:24,LeBron James,2,24
314,6:13,Stephen Curry,3,23
328,4:56,Richard Jefferson,2,4
329,4:37,Klay Thompson,2,6
330,4:13,LeBron James,2,26
336,3:31,Richard Jefferson,2,6
339,3:05,Kyrie Irving,2,19
340,2:48,Kevin Durant,2,28
346,2:24,Kevin Durant,1,29
350,2:24,Kevin Durant,1,30
355,1:54,Stephen Curry,3,26
362,1:28,Draymond Green,2,2
365,1:28,Draymond Green,1,3
369,1:12,Richard Jefferson,1,7
377,0:14,Draymond Green,3,6
378,0:03,Kyrie Irving,3,22
387,11:21,Ian Clark,2,4
389,11:08,Richard Jefferson,1,8
390,11:08,Richard Jefferson,1,9
398,10:44,Draymond Green,1,7
417,8:56,Kevin Love,1,12
418,8:56,Kevin Love,1,13
420,8:41,Kevin Durant,1,31
421,8:41,Kevin Durant,1,32
422,8:22,LeBron James,2,28
427,7:39,Draymond Green,2,9
432,6:45,Iman Shumpert,2,5
446,5:22,Stephen Curry,2,28
448,5:09,Kevin Love,2,15
452,4:45,Kyrie Irving,2,24
456,4:05,Kevin Durant,3,35
465,3:44,Kevin Durant,3,38
466,3:26,Dahntay Jones,3,3
481,2:15,Dahntay Jones,1,4
487,2:15,Dahntay Jones,1,5
488,1:55,James Michael McAdoo,2,2
491,1:17,Matt Barnes,3,3
501,0:10,Dahntay Jones,1,6
503,0:10,Dahntay Jones,1,7
